6.73,8.56,2.98,2.77,3.86,6.44,11.85,4.81,7.89,3.88,8.19,5.43,6.81,8.24,6.44,5.15,2.63,6.0,9.71,16.19,0.0,6.65,7.86,12.96,4.95,3.17,5.64,1.79,5.15,3.28,7.36,8.13,7.14,11.65,5.58,5.55,3.8,7.11,8.01,5.95,9.84,3.91,2.45,1.49,6.35,2.9,4.43,4.11,14.34,5.14,5.78
1.56,6.99,7.73,7.51,8.61,1.71,8.56,6.74,6.32,7.8,6.63,9.07,0.9,10.93,10.08,7.1,7.37,2.87,11.65,18.87,6.65,0.0,11.82,20.2,3.17,6.34,9.6,6.62,9.11,7.24,5.93,9.91,8.92,9.11,9.11,1.38,3.26,5.68,5.03,7.71,11.61,5.66,4.85,5.66,11.91,6.86,6.19,7.29,11.36,6.89,4.35
11.83,13.65,8.94,8.72,9.82,11.53,16.94,9.9,12.98,3.97,13.29,9.75,11.9,13.34,13.48,10.25,8.59,11.09,12.31,7.76,7.86,11.82,0.0,6.87,10.07,7.44,3.17,7.74,3.34,5.55,12.48,12.69,13.68,16.77,12.66,10.67,8.92,12.23,13.13,14.04,10.08,9.03,7.57,6.62,11.68,6.14,9.55,8.38,19.46,10.26,10.9
20.2,22.02,14.04,13.82,13.71,19.9,19.86,18.26,21.36,9.07,20.31,17.51,20.28,12.71,16.75,18.61,14.69,19.46,15.58,5.34,12.96,20.2,6.87,0.0,18.63,12.49,8.23,12.8,8.39,10.6,21.04,16.04,17.03,19.61,16.01,19.23,17.48,20.79,21.68,17.39,13.43,17.58,12.62,11.68,15.03,11.19,18.11,13.44,28.01,18.81,19.46
3.17,5.29,6.02,5.81,6.91,2.87,6.85,5.03,4.62,6.09,4.93,7.37,3.25,9.22,8.38,5.39,5.67,2.43,9.94,17.16,4.95,3.17,10.07,18.63,0.0,4.64,7.89,4.92,7.4,5.53,4.22,8.21,7.22,7.4,7.41,2.07,1.56,3.97,3.33,6.0,9.91,3.96,3.15,3.96,10.2,5.15,4.49,5.58,9.66,5.19,2.64
6.34,8.17,4.24,4.03,5.12,6.05,11.46,4.42,7.5,3.47,7.81,2.76,6.42,7.86,4.33,4.77,3.89,5.61,5.51,15.8,3.17,6.34,7.44,12.49,4.64,0.0,5.23,3.03,4.74,2.34,7.08,5.75,3.56,11.37,3.44,5.27,3.52,6.83,7.73,3.19,6.02,3.63,2.17,2.07,4.21,2.49,2.52,1.96,14.06,4.22,5.5
9.6,11.42,6.72,6.5,7.6,9.3,14.71,7.67,10.76,1.75,11.06,7.52,9.68,11.11,8.53,8.02,6.36,8.86,12.58,9.12,5.64,9.6,3.17,8.23,7.89,5.23,0.0,5.52,1.11,3.32,10.25,11.03,10.04,14.54,7.63,8.45,6.69,10.0,10.9,8.84,11.51,6.8,5.34,4.4,8.4,3.91,7.33,6.16,17.23,8.03,8.67
6.62,8.45,1.5,1.28,2.97,6.33,11.73,4.69,7.78,3.77,8.08,5.32,6.7,5.7,6.33,5.04,1.73,5.89,9.6,13.94,1.79,6.62,7.74,12.8,4.92,3.03,5.52,0.0,5.04,3.16,7.25,8.02,7.03,11.53,5.47,5.44,3.69,7.0,7.9,5.84,9.72,3.8,2.34,1.38,6.24,2.78,4.32,4.0,14.23,5.02,5.67
9.11,10.93,6.22,6.01,7.11,8.81,14.22,7.18,10.26,1.25,10.57,7.03,9.19,10.62,8.04,7.53,5.87,8.37,12.09,9.28,5.15,9.11,3.34,8.39,7.4,4.74,1.11,5.04,0.0,2.07,9.76,10.54,9.55,14.05,7.14,7.95,6.2,9.51,10.41,8.35,11.68,6.31,4.85,3.9,7.91,3.42,6.83,5.66,16.74,7.54,8.18
7.24,9.06,4.35,4.14,5.24,6.94,12.35,5.31,8.39,2.54,8.7,4.63,7.31,8.75,5.64,5.66,4.0,6.5,6.83,11.49,3.28,7.24,5.55,10.6,5.53,2.34,3.32,3.16,2.07,0.0,7.89,8.67,4.86,12.18,4.74,6.08,4.33,7.64,8.54,4.49,10.37,4.44,2.98,2.03,5.51,1.55,3.82,3.27,14.87,5.67,6.31
